"Id","ActivityDate","TotalSteps","TotalMinutesAsleep","TotalTimeInBed"
4445114986,"4/15/2016",7198,337,379
4445114986,"4/16/2016",3945,462,499
4445114986,"4/17/2016",2268,98,107
4445114986,"4/19/2016",2064,388,424
4445114986,"4/20/2016",2072,439,462
4445114986,"4/21/2016",3809,436,469
4445114986,"4/22/2016",6831,388,417
4445114986,"4/25/2016",3385,328,345
4445114986,"4/26/2016",6326,353,391
4445114986,"4/27/2016",7243,332,374
4445114986,"4/28/2016",4493,419,442
4445114986,"4/29/2016",4676,106,108
4445114986,"4/30/2016",6222,322,353
4445114986,"5/1/2016",5232,439,459
4445114986,"5/2/2016",6910,502,542
4445114986,"5/3/2016",7502,417,450
4445114986,"5/4/2016",2923,337,363
4445114986,"5/5/2016",3800,462,513
4445114986,"5/6/2016",4514,374,402
4445114986,"5/7/2016",5183,401,436
4445114986,"5/8/2016",7303,361,391
4445114986,"5/9/2016",5275,457,533
4445114986,"5/10/2016",3915,405,426
4445114986,"5/11/2016",9105,499,530
4445114986,"5/12/2016",768,483,501
4558609924,"4/21/2016",13743,126,137
4558609924,"4/26/2016",9148,103,121
4558609924,"4/29/2016",7833,171,179
4558609924,"5/1/2016",3428,115,129
4558609924,"5/8/2016",6543,123,134
4702921684,"4/12/2016",7213,425,439
4702921684,"4/13/2016",6877,400,430
4702921684,"4/14/2016",7860,384,415
4702921684,"4/15/2016",6506,253,257
4702921684,"4/16/2016",11140,382,406
4702921684,"4/17/2016",12692,591,612
4702921684,"4/18/2016",9105,293,312
4702921684,"4/19/2016",6708,457,487
4702921684,"4/20/2016",8793,454,468
4702921684,"4/21/2016",6530,425,434
4702921684,"4/23/2016",15126,465,475
4702921684,"4/24/2016",15050,480,506
4702921684,"4/25/2016",9167,370,380
4702921684,"4/26/2016",6108,421,429
4702921684,"4/27/2016",7047,432,449
4702921684,"4/28/2016",9023,442,461
4702921684,"4/29/2016",9930,433,447
4702921684,"4/30/2016",10144,479,501
4702921684,"5/3/2016",9454,327,373
4702921684,"5/4/2016",8161,412,434
4702921684,"5/5/2016",8614,414,428
4702921684,"5/6/2016",6943,404,449
4702921684,"5/7/2016",14370,520,543
4702921684,"5/9/2016",8232,435,458
4702921684,"5/10/2016",10613,416,431
4702921684,"5/11/2016",9810,354,366
4702921684,"5/12/2016",2752,404,442
5553957443,"4/12/2016",11596,441,464
5553957443,"4/13/2016",4832,455,488
5553957443,"4/14/2016",17022,357,418
5553957443,"4/15/2016",16556,377,409
5553957443,"4/16/2016",5771,651,686
5553957443,"4/17/2016",655,350,402
5553957443,"4/18/2016",3727,520,541
5553957443,"4/19/2016",15482,357,410
5553957443,"4/20/2016",2713,658,678
5553957443,"4/21/2016",12346,399,431
5553957443,"4/22/2016",11682,322,353
5553957443,"4/23/2016",4112,631,725
5553957443,"4/24/2016",1807,553,640
5553957443,"4/25/2016",10946,433,468
5553957443,"4/26/2016",11886,412,453
5553957443,"4/27/2016",10538,347,391
5553957443,"4/28/2016",11393,421,457
5553957443,"4/29/2016",12764,450,495
5553957443,"4/30/2016",1202,775,843
5553957443,"5/1/2016",5164,622,686
5553957443,"5/2/2016",9769,409,471
5553957443,"5/3/2016",12848,380,429
5553957443,"5/4/2016",4249,447,470
5553957443,"5/5/2016",14331,419,464
5553957443,"5/6/2016",9632,400,434
5553957443,"5/7/2016",1868,442,470
5553957443,"5/8/2016",6083,568,608
5553957443,"5/9/2016",11611,453,494
5553957443,"5/10/2016",16358,418,443
5553957443,"5/11/2016",4926,463,486
5553957443,"5/12/2016",3121,438,475
5577150313,"4/12/2016",8135,419,438
5577150313,"4/13/2016",5077,432,458
5577150313,"4/14/2016",8596,477,497
5577150313,"4/15/2016",12087,392,413
5577150313,"4/16/2016",14269,406,445
5577150313,"4/17/2016",12231,549,583
5577150313,"4/18/2016",9893,527,553
5577150313,"4/19/2016",12574,449,465
5577150313,"4/20/2016",8330,447,480
5577150313,"4/21/2016",10830,414,437
5577150313,"4/22/2016",9172,338,366
5577150313,"4/23/2016",7638,384,402
5577150313,"4/24/2016",15764,543,615
5577150313,"4/25/2016",6393,421,461
5577150313,"4/26/2016",5325,354,377
5577150313,"4/27/2016",6805,424,452
5577150313,"4/28/2016",9841,361,372
5577150313,"4/29/2016",7924,459,485
5577150313,"4/30/2016",12363,412,433
5577150313,"5/1/2016",13368,379,398
5577150313,"5/2/2016",7439,525,553
5577150313,"5/3/2016",11045,508,543
5577150313,"5/4/2016",5206,603,634
5577150313,"5/5/2016",7550,74,78
5577150313,"5/10/2016",8869,504,562
5577150313,"5/11/2016",4038,431,476
6117666160,"4/16/2016",14450,380,398
6117666160,"4/17/2016",7150,336,350
6117666160,"4/18/2016",5153,493,510
6117666160,"4/19/2016",11135,465,492
6117666160,"4/20/2016",10449,474,502
6117666160,"4/21/2016",19542,508,550
6117666160,"4/22/2016",8206,480,546
6117666160,"4/23/2016",11495,492,539
6117666160,"4/24/2016",7623,353,367
6117666160,"4/27/2016",9411,542,557
6117666160,"4/28/2016",3403,393,416
6117666160,"4/29/2016",9592,600,636
6117666160,"5/1/2016",8915,507,575
6117666160,"5/5/2016",9799,392,415
6117666160,"5/6/2016",3365,658,698
6117666160,"5/7/2016",7336,498,507
6117666160,"5/8/2016",7328,555,603
6117666160,"5/9/2016",4477,492,522
6775888955,"4/13/2016",4053,235,260
6775888955,"4/14/2016",5162,423,441
6775888955,"4/15/2016",1282,391,406
6962181067,"4/12/2016",10199,366,387
6962181067,"4/13/2016",5652,630,679
6962181067,"4/14/2016",1551,508,535
6962181067,"4/15/2016",5563,370,386
6962181067,"4/16/2016",13217,357,366
6962181067,"4/17/2016",10145,427,446
6962181067,"4/18/2016",11404,442,458
6962181067,"4/19/2016",10742,476,535
6962181067,"4/20/2016",13928,418,424
6962181067,"4/21/2016",11835,451,457
6962181067,"4/22/2016",10725,425,435
6962181067,"4/23/2016",20031,528,546
6962181067,"4/24/2016",5029,511,514
6962181067,"4/25/2016",13239,400,415
6962181067,"4/26/2016",10433,441,446
6962181067,"4/27/2016",10320,455,467
6962181067,"4/28/2016",12627,440,453
6962181067,"4/29/2016",10762,433,447
6962181067,"4/30/2016",10081,422,424
6962181067,"5/1/2016",5454,411,426
6962181067,"5/2/2016",12912,466,482
6962181067,"5/3/2016",12109,394,418
6962181067,"5/4/2016",10147,442,455
6962181067,"5/5/2016",10524,467,491
6962181067,"5/6/2016",5908,443,462
6962181067,"5/7/2016",6815,298,334
6962181067,"5/8/2016",4188,541,569
6962181067,"5/9/2016",12342,489,497
6962181067,"5/10/2016",15448,469,481
6962181067,"5/11/2016",6722,452,480
6962181067,"5/12/2016",3587,516,535
7007744171,"4/16/2016",4631,79,82
7007744171,"5/1/2016",5600,58,61
7086361926,"4/12/2016",11317,514,525
7086361926,"4/13/2016",5813,451,465
7086361926,"4/14/2016",9123,472,476
7086361926,"4/15/2016",8585,377,386
7086361926,"4/19/2016",10688,472,483
7086361926,"4/20/2016",14365,492,502
7086361926,"4/21/2016",9469,390,411
7086361926,"4/22/2016",9753,428,448
7086361926,"4/24/2016",3520,681,704
7086361926,"4/25/2016",10091,446,447
7086361926,"4/26/2016",10387,485,500
7086361926,"4/27/2016",11107,469,479
7086361926,"4/28/2016",11584,354,367
7086361926,"4/30/2016",14560,485,489
7086361926,"5/1/2016",12390,388,407
7086361926,"5/2/2016",10052,440,459
7086361926,"5/3/2016",10288,456,461
7086361926,"5/4/2016",10988,420,436
7086361926,"5/6/2016",12461,322,333
7086361926,"5/7/2016",12827,530,548
7086361926,"5/8/2016",10677,481,510
7086361926,"5/9/2016",13566,427,438
7086361926,"5/11/2016",9572,451,463
7086361926,"5/12/2016",3789,444,457
8053475328,"4/20/2016",15108,486,493
8053475328,"4/23/2016",22359,331,337
8053475328,"5/7/2016",19769,74,75
8378563200,"4/12/2016",7626,338,356
8378563200,"4/13/2016",12386,447,487
8378563200,"4/14/2016",13318,424,455
8378563200,"4/15/2016",14461,513,533
8378563200,"4/16/2016",11207,611,689
8378563200,"4/17/2016",2132,525,591
8378563200,"4/18/2016",13630,398,451
8378563200,"4/19/2016",13070,387,421
8378563200,"4/20/2016",9388,381,409
8378563200,"4/21/2016",15148,396,417
8378563200,"4/22/2016",12200,441,469
8378563200,"4/23/2016",5709,565,591
8378563200,"4/24/2016",3703,458,492
8378563200,"4/25/2016",12405,388,402
8378563200,"4/26/2016",16208,550,584
8378563200,"4/27/2016",7359,531,600
8378563200,"4/28/2016",5417,506,556
8378563200,"4/29/2016",6175,527,562
8378563200,"4/30/2016",2946,468,555
8378563200,"5/1/2016",11419,475,539
8378563200,"5/2/2016",6064,351,385
8378563200,"5/3/2016",8712,405,429
8378563200,"5/4/2016",7875,441,477
8378563200,"5/5/2016",8567,381,417
8378563200,"5/6/2016",7045,323,355
8378563200,"5/7/2016",4468,459,513
8378563200,"5/8/2016",2943,545,606
8378563200,"5/9/2016",8382,359,399
8378563200,"5/10/2016",6582,342,391
8378563200,"5/11/2016",9143,368,387
8378563200,"5/12/2016",4561,496,546
8792009665,"4/12/2016",2564,458,493
8792009665,"4/13/2016",1320,531,552
8792009665,"4/14/2016",1219,486,503
8792009665,"4/15/2016",2483,363,377
8792009665,"4/20/2016",3147,528,547
8792009665,"4/22/2016",4068,391,407
8792009665,"4/23/2016",5245,339,360
8792009665,"4/27/2016",1758,423,428
8792009665,"4/28/2016",6157,402,416
8792009665,"4/29/2016",8360,398,406
8792009665,"4/30/2016",7174,343,360
8792009665,"5/1/2016",1619,503,527
8792009665,"5/2/2016",1831,415,423
8792009665,"5/3/2016",2421,516,545
8792009665,"5/4/2016",2283,439,463
